"filename", "language", "JavaScript", "PHP", "XML", "CSS", "SCSS", "HTML", "comment", "blank", "total"
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\_modal.scss", "SCSS", 0, 0, 0, 0, 168, 0, 37, 36, 241
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\_nav.scss", "SCSS", 0, 0, 0, 0, 81, 0, 19, 24, 124
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\_navbar.scss", "SCSS", 0, 0, 0, 0, 218, 0, 46, 61, 325
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\_notes\dwsync.xml", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\_pagination.scss", "SCSS", 0, 0, 0, 0, 60, 0, 4, 11, 75
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\_popover.scss", "SCSS", 0, 0, 0, 0, 141, 0, 5, 25, 171
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\_print.scss", "SCSS", 0, 0, 0, 0, 84, 0, 33, 25, 142
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\_progress.scss", "SCSS", 0, 0, 0, 0, 41, 0, 1, 6, 48
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\_reboot.scss", "SCSS", 0, 0, 0, 0, 262, 0, 138, 85, 485
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\_root.scss", "SCSS", 0, 0, 0, 0, 13, 0, 4, 4, 21
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\_spinners.scss", "SCSS", 0, 0, 0, 0, 41, 0, 8, 8, 57
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\_tables.scss", "SCSS", 0, 0, 0, 0, 121, 0, 28, 37, 186
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\_toasts.scss", "SCSS", 0, 0, 0, 0, 38, 0, 2, 7, 47
